kz,сипаттама,ru,описание,en,description
Аберрация,құрылымы мен функциясындағы типтік нормадан ауытқу.,Аберрация ,отклонение в строении и функции от типичной нормы.,Aberration ,a deviation in structure and function from the typical norm.
Витамин тапшылығы,витаминдердің болмауы-өмірлік функцияларды сақтау үшін қажетті қоректік заттар және онымен байланысты бұзылулар.,Авитаминоз ,"пищевых веществ, необходимых для поддержания жизненных функций, и связанные с этим нарушения.",Vitamin deficiency is the absence of vitamins," nutrients necessary to maintain vital functions, and related disorders."
Аггравация,науқастардың нақты аурудың жеке белгілерін асыра сілтеуі.,Аггравация ,преувеличение больным отдельных симптомов действительно имеющегося заболевания.,Aggravation ,an exaggeration by patients of individual symptoms of a really existing disease.
Бейімделу,тірі организмнің эволюциялық даму процесінде дамыған сыртқы ортада үнемі өзгеріп отыратын өмір сүру жағдайларына бейімделуі.,Адаптация ,"приспособление живого организма к постоянно изменяющимся условиям существования во внешней среде, выработанное в процессе эволюционного развития.",Adaptation ,"the adaptation of a living organism to the constantly changing conditions of existence in the external environment, developed in the process of evolutionary development."
Адинамия,жүйке-бұлшықет аппаратының бұзылуы нәтижесінде белсенді белсенділіктің төмендеуі немесе толық тоқтауы.,Адинамия ,уменьшение или полное прекращение деятельной активности в результате нарушения нервно-мышечного аппарата.,Adynamia ,a decrease or complete cessation of active activity as a result of a violation of the neuromuscular apparatus.
Адренергиялық рецепторлар,"бұл дененің көптеген жасушаларында орналасқан, оның әсерлері жүзеге асырылатын адреналинді қабылдауға қабілетті құрылымдар.",Адренорецепторы ," структуры, располагающиеся на многих клетках организма, способные воспринимать адреналин, через которые осуществляются его эффекты.",Adrenoreceptors ,"structures located on many cells of the body, capable of perceiving adrenaline, through which its effects are carried out."
Адсорбция,"қатты дененің немесе сұйықтықтың бетіндегі газдарды, буларды немесе еріген заттарды сіңіру.",Адсорбция ,"поглощение газов, паров или растворенных веществ поверхностью твердого тела или жидкостью.",Adsorption,"the absorption of gases, vapors or dissolved substances by the surface of a solid or liquid."
Акинез,белсенді қозғалыстардың болмауы.,Акинез,отсутствие активных движений.,Akinesis ,the absence of active movements.
Аккомодация,бұл көзді әртүрлі қашықтықта анық көруге бейімдеу процесі.,Аккомодация,процесс приспособления глаза к ясному зрению на различном расстоянии.,Accommodation ,is the process of adapting the eye to clear vision at different distances.
Алкоголизм,"алкогольді ұзақ, қалыпты тұтынудың әсерінен организмде пайда болатын патологиялық өзгерістердің жиынтығы.",Алкоголизм ,"совокупность патологических изменений, возникающих в организме под влиянием длительного, неумеренного употребления алкоголя.",Alcoholism," is a set of pathological changes that occur in the body under the influence of prolonged, excessive alcohol consumption."
Аллергия,ағзаның иммунореактивтілігінің өзгеруіне байланысты әртүрлі заттарға жоғары сезімталдығы.,Аллергия ," повышенная чувствительность организма к различным веществам, связанная с изменением его иммунореактивности.",Allergy,is an increased sensitivity of the body to various substances associated with a change in its immunoreactivity.
Аллопластика,"адамның мүшелері мен тіндерін қалпына келтіру үшін биологиялық емес материалдарды (металл, пластикалық массалар және т. б.) қолданатын хирургия әдісі",Аллопластика ,"метод хирургии, использующей для восстановления органов и тканей человека материалы не биологического происхождения (металл, пластические массы и др-)",Alloplasty ," is a method of surgery that uses materials of non—biological origin (metal, plastic masses, etc.) to restore human organs and tissues"
Альтерация,"жасушалардың, тіндердің және организмдердің құрылымының өзгеруі, олардың тіршілік әрекетінің бұзылуымен бірге жүреді; қабынудың бастапқы кезеңі.",Альтерация,"изменение структуры клеток, тканей и организмов, сопровождающееся нарушением их жизнедеятельности; первоначальная фаза воспаления.",Alteration ,"is a change in the structure of cells, tissues and organisms, accompanied by a violation of their vital activity; the initial phase of inflammation."
